timestamp,temperature,humidity,precipitation,pressure,wind_speed,wind_direction,cloud_cover,pm2_5,pm10,co,no2,so2,o3,dust,aod
2023-01-01T00:00,22.5,96,0.1,1011.5,4.8,228,23,80.8,120.1,2987.0,51.3,88.2,56.0,0.0,1.14
2023-01-01T01:00,22.0,97,0.0,1011.1,5.9,232,26,86.4,128.1,2990.0,52.1,99.6,53.0,0.0,1.26
2023-01-01T02:00,21.6,97,0.0,1010.7,4.7,293,100,96.9,143.4,2876.0,52.8,109.2,50.0,0.0,1.18
2023-01-01T03:00,21.4,98,0.0,1010.5,4.2,301,100,79.6,118.5,2660.0,52.2,107.4,50.0,0.0,1.14
2023-01-01T04:00,21.0,98,0.0,1010.8,5.2,295,96,70.3,105.0,2358.0,51.2,100.9,50.0,0.0,1.06
2023-01-01T05:00,22.5,94,0.0,1010.9,2.2,90,98,60.5,89.9,1387.0,49.7,60.3,47.0,0.0,1.0
2023-01-01T06:00,22.2,98,0.0,1011.7,3.7,281,59,73.6,108.0,1261.0,53.5,63.2,47.0,0.0,1.02
2023-01-01T07:00,22.8,97,0.0,1012.7,3.8,49,70,65.0,96.2,1082.0,59.0,67.4,46.0,1.0,1.07
2023-01-01T08:00,23.8,86,0.5,1013.6,6.4,117,100,40.3,61.2,863.0,63.2,72.1,49.0,1.0,1.13
2023-01-01T09:00,24.5,84,0.1,1014.3,5.6,130,99,39.8,60.8,749.0,61.1,74.1,56.0,1.0,1.2
2023-01-01T10:00,25.8,79,0.0,1014.1,4.5,61,67,40.0,61.2,655.0,56.5,75.3,66.0,1.0,1.16
2023-01-01T11:00,27.5,72,0.0,1013.2,5.0,111,14,41.2,63.1,559.0,50.5,74.3,77.0,1.0,1.13
2023-01-01T12:00,28.1,69,0.0,1011.8,7.9,141,24,41.8,64.0,506.0,47.2,69.8,82.0,1.0,1.09
2023-01-01T13:00,28.0,68,0.2,1010.4,10.3,144,54,41.9,64.7,471.0,44.0,63.0,85.0,1.0,1.07
2023-01-01T14:00,27.1,70,0.3,1009.6,12.5,147,57,41.4,64.3,460.0,43.2,56.7,85.0,1.0,1.1
2023-01-01T15:00,26.5,72,0.0,1009.6,9.5,151,46,42.4,66.4,453.0,47.8,56.3,79.0,1.0,1.16
2023-01-01T16:00,26.1,76,0.0,1009.8,10.2,135,23,44.8,70.8,461.0,55.0,58.2,69.0,1.0,1.17
2023-01-01T17:00,25.5,78,0.0,1010.5,10.2,135,16,41.7,65.4,619.0,58.8,64.2,56.0,1.0,0.96
2023-01-01T18:00,24.8,82,0.0,1011.1,7.4,133,11,55.6,86.1,1215.0,56.9,73.8,56.0,1.0,1.03
2023-01-01T19:00,23.9,89,0.0,1012.0,5.8,112,24,75.9,115.7,2063.0,54.2,87.6,56.0,1.0,1.09
2023-01-01T20:00,24.5,84,0.0,1012.5,4.8,117,13,89.2,135.0,3029.0,51.1,106.2,57.0,1.0,1.13
2023-01-01T21:00,24.3,85,0.0,1012.6,2.6,34,7,107.8,162.1,3421.0,49.8,119.4,58.0,1.0,1.17
2023-01-01T22:00,22.8,93,0.0,1012.4,3.0,14,9,98.5,149.0,3664.0,48.9,132.8,59.0,1.0,1.21
2023-01-01T23:00,22.4,95,0.0,1012.0,3.7,11,8,111.3,166.7,3855.0,48.5,145.5,59.0,1.0,1.26
2023-01-02T00:00,22.0,97,0.0,1011.8,6.7,16,66,116.9,174.2,3931.0,49.0,149.1,56.0,1.0,1.27
2023-01-02T01:00,22.0,92,0.4,1011.3,4.2,70,78,120.6,179.3,3929.0,50.1,149.0,51.0,1.0,1.22
2023-01-02T02:00,22.0,93,0.0,1010.9,2.8,50,12,120.6,179.3,3795.0,51.2,144.4,46.0,1.0,1.26
2023-01-02T03:00,21.1,97,0.0,1010.6,4.0,27,18,119.0,176.5,3579.0,51.3,137.6,45.0,1.0,1.23
2023-01-02T04:00,21.1,98,0.0,1010.9,4.4,9,49,114.1,169.5,3273.0,51.0,128.0,45.0,1.0,1.26
2023-01-02T05:00,21.9,92,0.0,1011.2,3.3,13,17,117.1,174.6,3717.0,66.3,136.2,34.0,1.0,1.26
2023-01-02T06:00,21.3,96,0.0,1012.3,4.2,340,25,106.6,160.2,3139.0,64.8,125.8,37.0,1.0,1.3
2023-01-02T07:00,22.6,91,0.0,1013.3,7.7,349,8,87.1,133.2,2315.0,62.7,110.8,41.0,1.0,1.33
2023-01-02T08:00,24.9,78,0.0,1014.3,7.0,21,14,61.5,98.0,1372.0,58.3,91.4,48.0,1.0,1.38
2023-01-02T09:00,26.0,72,0.2,1014.9,6.1,87,35,50.4,82.4,984.0,53.3,79.7,57.0,1.0,1.26
2023-01-02T10:00,26.8,69,0.2,1014.5,7.2,108,32,50.1,81.7,738.0,47.2,68.8,67.0,2.0,1.19
2023-01-02T11:00,27.1,66,0.1,1013.4,10.0,120,44,47.3,77.1,522.0,39.9,56.7,79.0,2.0,1.1
2023-01-02T12:00,27.3,64,0.0,1012.1,10.7,123,24,44.9,73.6,420.0,35.0,49.3,86.0,2.0,1.07
2023-01-02T13:00,27.2,64,0.1,1011.0,10.3,115,49,42.0,69.6,387.0,30.6,43.5,92.0,2.0,1.05
2023-01-02T14:00,27.0,65,0.1,1010.3,11.7,124,24,38.8,64.7,392.0,29.2,38.8,93.0,2.0,1.04
2023-01-02T15:00,26.5,66,0.0,1010.0,12.1,120,75,34.9,59.1,374.0,34.3,37.5,84.0,2.0,0.98
2023-01-02T16:00,26.0,69,0.0,1010.5,10.2,113,65,32.0,54.9,373.0,43.1,38.2,70.0,3.0,0.93
2023-01-02T17:00,25.2,72,0.0,1011.0,7.2,108,8,37.3,62.6,551.0,53.6,44.7,52.0,3.0,0.98
2023-01-02T18:00,24.5,76,0.0,1011.9,3.7,101,24,56.5,90.3,1117.0,54.9,54.3,49.0,3.0,0.99
2023-01-02T19:00,23.9,81,0.0,1012.9,5.1,94,20,70.3,109.7,1923.0,56.8,68.2,44.0,3.0,0.96
2023-01-02T20:00,23.6,83,0.0,1013.5,4.5,61,18,78.5,121.1,2803.0,59.5,84.2,38.0,3.0,1.06
2023-01-02T21:00,22.9,89,0.0,1013.7,5.2,65,10,80.1,123.4,3109.0,61.6,91.3,33.0,3.0,1.16
2023-01-02T22:00,22.4,92,0.0,1013.6,5.0,30,11,89.2,135.5,3249.0,63.9,96.3,29.0,3.0,1.21
2023-01-02T23:00,22.0,93,0.0,1013.1,4.7,23,15,90.1,136.9,3269.0,65.9,99.6,24.0,3.0,1.21
2023-01-03T00:00,21.9,92,0.0,1012.6,5.0,21,28,88.9,135.0,3159.0,65.9,98.8,22.0,3.0,1.2
2023-01-03T01:00,21.9,92,0.0,1012.1,6.0,25,25,88.2,134.1,2939.0,65.1,95.7,22.0,3.0,1.13
2023-01-03T02:00,21.6,92,0.0,1011.6,6.4,16,4,87.3,132.7,2621.0,64.1,89.8,22.0,3.0,1.08
2023-01-03T03:00,21.5,91,0.0,1011.3,8.5,12,11,85.0,129.5,2407.0,63.6,84.2,22.0,3.0,1.07
2023-01-03T04:00,21.2,90,0.0,1011.7,8.4,7,15,81.5,124.8,2185.0,63.2,77.6,22.0,3.0,1.04
2023-01-03T05:00,21.0,93,0.0,1012.1,9.0,2,12,99.4,150.4,2876.0,69.3,108.5,10.0,3.0,1.02
2023-01-03T06:00,21.0,92,0.0,1013.1,9.4,7,5,89.4,137.4,2586.0,67.7,109.4,12.0,3.0,0.95
2023-01-03T07:00,22.4,86,0.0,1014.2,10.7,12,5,68.5,109.0,2171.0,65.2,110.6,14.0,3.0,0.9
2023-01-03T08:00,24.2,76,0.0,1015.0,12.5,41,22,62.6,101.0,1617.0,60.0,105.8,24.0,3.0,0.9
2023-01-03T09:00,25.6,69,0.1,1015.3,12.1,60,22,49.1,82.4,1238.0,53.2,92.6,41.0,3.0,0.91
2023-01-03T10:00,26.5,65,0.1,1014.9,12.9,72,29,48.8,81.5,864.0,45.0,74.1,63.0,4.0,0.93
2023-01-03T11:00,26.5,66,0.2,1013.9,13.7,76,41,50.6,83.6,500.0,35.9,53.6,88.0,4.0,0.96
2023-01-03T12:00,26.4,68,0.1,1012.4,13.6,79,50,52.7,86.4,398.0,31.5,46.0,99.0,4.0,0.96
2023-01-03T13:00,26.1,69,0.0,1011.1,13.0,87,59,52.4,85.4,400.0,28.4,42.1,107.0,3.0,0.98
2023-01-03T14:00,25.9,70,0.1,1010.4,13.0,96,30,50.6,82.4,443.0,29.5,39.2,108.0,3.0,1.03
2023-01-03T15:00,25.6,70,0.1,1010.1,15.5,102,17,49.0,79.9,458.0,37.6,38.5,99.0,3.0,1.04
2023-01-03T16:00,25.3,71,0.0,1010.2,14.5,96,16,47.5,77.5,489.0,49.8,39.5,84.0,2.0,1.05
2023-01-03T17:00,24.6,76,0.0,1011.1,9.7,90,27,41.2,68.2,590.0,58.7,83.5,70.0,2.0,0.84
2023-01-03T18:00,24.5,77,0.0,1011.6,9.4,92,59,42.6,70.3,566.0,54.1,75.1,73.0,2.0,0.92
2023-01-03T19:00,24.4,77,0.0,1012.5,8.3,92,32,46.1,75.7,532.0,47.5,63.2,77.0,1.0,0.98
2023-01-03T20:00,23.8,80,0.0,1012.9,6.6,81,15,50.4,82.2,500.0,40.8,51.3,81.0,1.0,1.03
2023-01-03T21:00,23.2,82,0.2,1013.3,3.6,37,71,59.6,96.6,501.0,39.6,49.8,80.0,1.0,1.08
2023-01-03T22:00,22.8,86,0.1,1013.6,8.3,34,72,59.6,96.6,514.0,40.2,51.8,78.0,1.0,1.11
2023-01-03T23:00,22.3,88,0.1,1013.3,7.1,60,72,60.5,98.3,523.0,40.2,54.0,76.0,1.0,1.16
2023-01-04T00:00,21.9,90,0.4,1013.0,8.9,27,100,57.2,93.4,512.0,37.7,52.6,78.0,1.0,1.12
2023-01-04T01:00,21.4,92,0.3,1012.4,9.7,31,94,54.0,88.5,493.0,34.2,50.3,82.0,1.0,1.1
2023-01-04T02:00,21.0,93,0.2,1012.1,10.6,10,95,51.0,83.6,474.0,30.6,48.0,85.0,1.0,1.09
2023-01-04T03:00,20.8,93,0.2,1011.7,9.9,19,94,49.2,80.6,474.0,30.5,48.1,85.0,1.0,1.08
2023-01-04T04:00,20.7,95,0.4,1012.0,4.4,35,100,49.6,81.3,480.0,31.4,49.0,83.0,1.0,1.16
2023-01-04T05:00,21.2,94,0.2,1012.2,8.6,33,96,44.8,70.8,471.0,31.4,36.8,83.0,1.0,1.11
2023-01-04T06:00,21.4,93,0.1,1012.5,10.2,23,100,42.8,68.9,440.0,27.4,32.5,89.0,1.0,1.1
2023-01-04T07:00,22.1,91,0.0,1013.4,7.5,17,100,43.3,68.2,397.0,21.9,26.7,97.0,1.0,1.13
2023-01-04T08:00,22.8,86,0.0,1014.4,9.8,36,100,41.1,65.9,369.0,18.0,25.5,105.0,1.0,1.14
2023-01-04T09:00,23.4,84,0.1,1014.8,11.6,30,61,42.5,67.8,392.0,20.5,34.2,106.0,1.0,1.02
2023-01-04T10:00,24.5,78,0.0,1014.5,12.0,39,61,42.6,67.8,439.0,25.8,48.1,104.0,1.0,0.9
2023-01-04T11:00,25.3,72,0.1,1013.7,12.6,53,59,43.0,68.7,509.0,33.7,66.8,101.0,1.0,0.88
2023-01-04T12:00,25.2,72,0.2,1012.4,12.6,63,100,46.0,73.8,564.0,39.2,79.9,98.0,1.0,0.89
2023-01-04T13:00,26.1,68,0.0,1011.1,13.6,73,41,41.8,66.8,625.0,45.1,93.1,94.0,1.0,0.84
2023-01-04T14:00,26.0,68,0.1,1010.1,15.0,79,36,42.8,68.7,680.0,51.9,103.6,88.0,1.0,0.74
